state,url,secondary,tertiary,dateChecked,date,size
WY,https://covidtracking.com/screenshots/WY/WY-20200315-164141.png,false,false,2020-03-15T20:41:41.000Z,20200315,502551
WY,https://covidtracking.com/screenshots/WY/WY-20200316-110250.png,false,false,2020-03-16T15:02:50.000Z,20200316,500566
WY,https://covidtracking.com/screenshots/WY/WY-20200316-231323.png,false,false,2020-03-17T03:13:23.000Z,20200317,488342
WY,https://covidtracking.com/screenshots/WY/WY-20200317-141842.png,false,false,2020-03-17T18:18:42.000Z,20200317,465932
WY,https://covidtracking.com/screenshots/WY/WY-20200317-180842.png,false,false,2020-03-17T22:08:42.000Z,20200317,486550
WY,https://covidtracking.com/screenshots/WY/WY-20200318-010733.png,false,false,2020-03-18T05:07:33.000Z,20200318,487224
WY,https://covidtracking.com/screenshots/WY/WY-20200318-142749.png,false,false,2020-03-18T18:27:49.000Z,20200318,487485
WY,https://covidtracking.com/screenshots/WY/WY-20200319-010754.png,false,false,2020-03-19T05:07:54.000Z,20200319,504067
WY,https://covidtracking.com/screenshots/WY/WY-20200319-141146.png,false,false,2020-03-19T18:11:46.000Z,20200319,481721
WY,https://covidtracking.com/screenshots/WY/WY-20200319-190853.png,false,false,2020-03-19T23:08:53.000Z,20200319,481400
WY,https://covidtracking.com/screenshots/WY/WY-20200320-010859.png,false,false,2020-03-20T05:08:59.000Z,20200320,487380
WY,https://covidtracking.com/screenshots/WY/WY-20200320-141443.png,false,false,2020-03-20T18:14:43.000Z,20200320,504509
WY,https://covidtracking.com/screenshots/WY/WY-20200320-192030.png,false,false,2020-03-20T23:20:30.000Z,20200320,481640
WY,https://covidtracking.com/screenshots/WY/WY-20200321-011143.png,false,false,2020-03-21T05:11:43.000Z,20200321,491150
WY,https://covidtracking.com/screenshots/WY/WY-20200321-141216.png,false,false,2020-03-21T18:12:16.000Z,20200321,488366
WY,https://covidtracking.com/screenshots/WY/WY-20200321-191034.png,false,false,2020-03-21T23:10:34.000Z,20200321,488366
WY,https://covidtracking.com/screenshots/WY/WY-20200322-010958.png,false,false,2020-03-22T05:09:58.000Z,20200322,491318
WY,https://covidtracking.com/screenshots/WY/WY-20200322-141241.png,false,false,2020-03-22T18:12:41.000Z,20200322,491318
WY,https://covidtracking.com/screenshots/WY/WY-20200322-191204.png,false,false,2020-03-22T23:12:04.000Z,20200322,483701
WY,https://covidtracking.com/screenshots/WY/WY-20200323-011036.png,false,false,2020-03-23T05:10:36.000Z,20200323,483701
WY,https://covidtracking.com/screenshots/WY/WY-20200323-141402.png,false,false,2020-03-23T18:14:02.000Z,20200323,505958
WY,https://covidtracking.com/screenshots/WY/WY-20200323-191329.png,false,false,2020-03-23T23:13:29.000Z,20200323,502911
WY,https://covidtracking.com/screenshots/WY/WY-20200324-010956.png,false,false,2020-03-24T05:09:56.000Z,20200324,506336
WY,https://covidtracking.com/screenshots/WY/WY-20200324-141100.png,false,false,2020-03-24T18:11:00.000Z,20200324,505157
WY,https://covidtracking.com/screenshots/WY/WY-20200324-191219.png,false,false,2020-03-24T23:12:19.000Z,20200324,509213
WY,https://covidtracking.com/screenshots/WY/WY-20200325-005448.png,false,false,2020-03-25T04:54:48.000Z,20200325,496756
WY,https://covidtracking.com/screenshots/WY/WY-20200325-141219.png,false,false,2020-03-25T18:12:19.000Z,20200325,496056
WY,https://covidtracking.com/screenshots/WY/WY-20200325-191242.png,false,false,2020-03-25T23:12:42.000Z,20200325,495736
WY,https://covidtracking.com/screenshots/WY/WY-20200326-011511.png,false,false,2020-03-26T05:15:11.000Z,20200326,497126
WY,https://covidtracking.com/screenshots/WY/WY-20200326-141516.png,false,false,2020-03-26T18:15:16.000Z,20200326,494125
WY,https://covidtracking.com/screenshots/WY/WY-20200327-161556.png,false,false,2020-03-27T20:15:56.000Z,20200327,494647
WY,https://covidtracking.com/screenshots/WY/WY-20200327-191531.png,false,false,2020-03-27T23:15:31.000Z,20200327,541622
WY,https://covidtracking.com/screenshots/WY/WY-20200328-011620.png,false,false,2020-03-28T05:16:20.000Z,20200328,497267
WY,https://covidtracking.com/screenshots/WY/WY-20200328-161712.png,false,false,2020-03-28T20:17:12.000Z,20200328,499569
WY,https://covidtracking.com/screenshots/WY/WY-20200328-191804.png,false,false,2020-03-28T23:18:04.000Z,20200328,499569
WY,https://covidtracking.com/screenshots/WY/WY-20200329-011516.png,false,false,2020-03-29T05:15:16.000Z,20200329,501941
WY,https://covidtracking.com/screenshots/WY/WY-20200329-161604.png,false,false,2020-03-29T20:16:04.000Z,20200329,516479
WY,https://covidtracking.com/screenshots/WY/WY-20200329-191515.png,false,false,2020-03-29T23:15:15.000Z,20200329,518626
WY,https://covidtracking.com/screenshots/WY/WY-20200330-061642.png,false,false,2020-03-30T10:16:42.000Z,20200330,518626
WY,https://covidtracking.com/screenshots/WY/WY-20200330-121634.png,false,false,2020-03-30T16:16:34.000Z,20200330,516195
WY,https://covidtracking.com/screenshots/WY/WY-20200330-181641.png,false,false,2020-03-30T22:16:41.000Z,20200330,515951
WY,https://covidtracking.com/screenshots/WY/WY-20200331-001902.png,false,false,2020-03-31T04:19:02.000Z,20200331,518477
WY,https://covidtracking.com/screenshots/WY/WY-20200331-061539.png,false,false,2020-03-31T10:15:39.000Z,20200331,518477
WY,https://covidtracking.com/screenshots/WY/WY-20200331-121713.png,false,false,2020-03-31T16:17:13.000Z,20200331,516736
WY,https://covidtracking.com/screenshots/WY/WY-20200331-181633.png,false,false,2020-03-31T22:16:33.000Z,20200331,516736
WY,https://covidtracking.com/screenshots/WY/WY-20200401-002024.png,false,false,2020-04-01T04:20:24.000Z,20200401,518847
WY,https://covidtracking.com/screenshots/WY/WY-20200401-061504.png,false,false,2020-04-01T10:15:04.000Z,20200401,518847
WY,https://covidtracking.com/screenshots/WY/WY-20200401-121636.png,false,false,2020-04-01T16:16:36.000Z,20200401,517130
