date,state,positive,negative,pending,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsSource,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200917,AK,7471,408392,,415863,41,,,,13,,2408,A,9/17/2020 03:59,2020-09-17T10:59:00Z,09/17 06:59,44,,2020-09-17T03:59:00Z,415863,6814,408769,7471,44,,,,,,,,,,,,,,02,106,7193,415863,posNeg,7299,415863,0,0,f864e3b047b10b45baa5aaa142e9dc33b2754742,0,0,0,0,0,
20200917,AL,141757,903156,,1044913,740,16079,,1631,,900,61232,A,9/17/2020 11:00,2020-09-17T18:00:00Z,09/17 14:00,2401,16079,2020-09-17T11:00:00Z,1031253,,,128097,2264,137,,,,,,56181,,,,,,,01,670,3472,1044913,posNeg,4142,1044913,9,137,19b32430902c40c48f4cd0e29b5f4d15c1183a2c,0,0,0,0,0,
20200917,AR,73211,783707,,856918,389,4896,206,,72,619,64145,A+,9/17/2020 00:00,2020-09-17T07:00:00Z,09/17 03:00,1166,4896,2020-09-17T00:00:00Z,855321,,783707,71614,1018,148,,,,,,,,,,,21856,3300,05,992,9749,856918,posNeg,10741,856918,9,56,9aa0a6797f3d9818866bd6f2103e624ea4e1092a,0,0,0,0,0,
20200917,AS,0,1571,,1571,,,,,,,,D,9/1/2020 00:00,2020-09-01T07:00:00Z,09/01 03:00,0,,2020-09-01T00:00:00Z,1571,,,0,,,,,,,,,,,,,,,60,0,0,1571,posNeg,0,1571,0,0,9367c84f75a5cd9f8abf0555209c7214e495e7e3,0,0,0,0,0,
20200917,AZ,211660,1141222,,1352882,594,21821,119,,65,,33381,A+,9/17/2020 00:00,2020-09-17T07:00:00Z,09/17 03:00,5409,21821,2020-09-17T00:00:00Z,1350116,,,208894,5135,274,,,280184,,,,,,,,,,04,1753,22668,1352882,posNeg,24421,1352882,38,-4,4837a63f1f5960961cb91f5f52e9fc3416339497,0,0,0,0,0,
20200917,CA,766201,12313836,,13080037,3621,,997,,,,,B,9/17/2020 02:59,2020-09-17T09:59:00Z,09/17 05:59,14721,,2020-09-17T02:59:00Z,13080037,,,766201,,,,,,,,,,,,,,,06,3238,76277,13080037,posNeg,79515,13080037,106,0,7a83f2e5cbb073502788ea7d2a9581f510e0a137,0,0,0,0,0,
20200917,CO,62686,739236,,1153853,248,7288,,,,,6220,A,9/17/2020 01:59,2020-09-17T08:59:00Z,09/17 04:59,1905,7288,2020-09-17T01:59:00Z,,,,58257,,,1153853,797493,164320,11393,152929,,,,,,,,08,587,5602,801922,totalTestEncountersViral,9912,801922,0,26,e6ac217b6c2fb9b2e59907275c7718c5349904e1,0,0,0,0,0,
20200917,CT,55386,1352887,,1408273,75,11447,,,,,9204,B,9/16/2020 20:30,2020-09-17T03:30:00Z,09/16 23:30,4488,11447,2020-09-16T20:30:00Z,1405974,,,53087,3593,895,,,,,,,,,,,,,09,220,13648,1408273,posNeg,13868,1408273,1,90,c2b841f62e33fba836de4eef4d56f8a72d2689bf,0,0,0,0,0,
20200917,DC,14790,326528,,341318,100,,22,,18,,11763,A+,9/16/2020 00:00,2020-09-16T07:00:00Z,09/16 03:00,619,,2020-09-16T00:00:00Z,,,,,,,341318,,,,,,,,,,,,11,47,3030,341318,posNeg,3077,341318,2,0,26160a4a63380ed4f3997541a715f810c695e5aa,0,0,0,0,0,
20200917,DE,19318,247850,,267168,66,,18,,,,10193,A+,9/16/2020 18:00,2020-09-17T01:00:00Z,09/16 21:00,619,,2020-09-16T18:00:00Z,,,,18319,547,72,,267168,,,,,,,,,,,10,84,1179,267168,posNeg,1263,267168,0,0,7a7631f103227fd3e67d7cb683590195d0e3cf37,0,0,0,0,0,
20200917,FL,674456,4336517,3817,5010973,2385,42525,,,,,,A,9/16/2020 23:59,2020-09-17T06:59:00Z,09/17 02:59,13247,42525,2020-09-16T23:59:00Z,7003515,868101,6095243,674456,13247,,,5018057,446669,34738,411877,437913,34017,403867,,13791,,,12,3255,23695,5014790,posNeg,26950,5010973,147,198,16883f44762abd68803ab470717733e4d9980cfc,0,0,0,0,0,
20200917,GA,300903,2378988,,2679891,1977,27054,,4945,,,,A,9/17/2020 14:50,2020-09-17T21:50:00Z,09/17 17:50,6474,27054,2020-09-17T14:50:00Z,2679891,275551,2404340,300903,,,,,292125,23551,,,,,,,,,13,1847,23923,2679891,posNeg,25770,2679891,55,170,e8cefc974a6e4e4a0240312d8a88fdbe022434fb,0,0,0,0,0,
20200917,GU,2045,43208,,45253,44,,19,,,,1427,A,9/17/2020 05:40,2020-09-17T12:40:00Z,09/17 08:40,31,,2020-09-17T05:40:00Z,45251,,,2045,,,,45253,170,3,,,,,,,,,66,32,370,45253,posNeg,402,45253,2,0,dabeda8182eeb15ffaf0db6a0b709958cff85787,0,0,0,0,0,
20200917,HI,10946,254554,,265500,210,667,56,,38,,4105,B,9/16/2020 18:00,2020-09-17T01:00:00Z,09/16 21:00,103,667,2020-09-16T18:00:00Z,358335,,,,,,,265500,,,,,,,,,,,15,102,2390,265500,posNeg,2492,265500,3,13,245ca7d3608e58cb476cc7257f7aee3d197e91a0,0,0,0,0,0,
20200917,IA,75028,626410,,701438,271,,85,,36,,55834,A+,9/17/2020 00:00,2020-09-17T07:00:00Z,09/17 03:00,1251,,2020-09-17T00:00:00Z,,,,75028,,,,702988,,,,54504,3269,51195,17663,2250,,,19,948,5379,701438,posNeg,6327,701438,14,0,77ed8d2d3100601d7ce4f6055efe9fd9a76b0cc2,0,0,0,0,0,
20200917,ID,36093,247272,,283365,123,1658,54,433,,,19405,A,9/17/2020 15:44,2020-09-17T22:44:00Z,09/17 18:44,429,1658,2020-09-17T15:44:00Z,280426,,,33154,391,38,,,,,,,,,,,,,16,283,1440,283365,posNeg,1723,283365,6,27,d761412c144dfdfc359a8e6151700ebe1ee46ae9,0,0,0,0,0,
20200917,IL,270302,4652731,,4923033,1558,,359,,144,,,A,9/17/2020 00:00,2020-09-17T07:00:00Z,09/17 03:00,8624,,2020-09-17T00:00:00Z,4920938,,,268207,8392,232,,,,,,,,,,,,,17,2056,55744,4923033,posNeg,57800,4923033,25,0,25e25774284e3fa58df3f2ad436cba68e41673c9,0,0,0,0,0,
20200917,IN,108646,1161004,,1269650,778,11982,241,2376,72,,85334,A+,9/16/2020 23:59,2020-09-17T06:59:00Z,09/17 02:59,3478,11982,2020-09-16T23:59:00Z,1788208,,,,3253,225,,1269650,,,,,,,,,,,18,837,6921,1269650,posNeg,7758,1269650,6,64,3ebb488f9356f3a9a4c6edace722dcf7ae26e79e,0,0,0,0,0,
20200917,KS,50870,413356,,464226,278,2616,83,713,21,225,1920,A+,9/16/2020 10:00,2020-09-16T17:00:00Z,09/16 13:00,586,2616,2020-09-16T10:00:00Z,,,,,,,,464226,,,,,,,,,,,20,0,0,464226,posNeg,0,464226,0,0,28a9e1453652491cada57c920db1bd8561e1ccb3,0,0,0,0,0,
20200917,KY,59370,979315,,1038685,515,4976,113,1471,,,11109,B,9/17/2020 00:00,2020-09-17T07:00:00Z,09/17 03:00,1093,4976,2020-09-17T00:00:00Z,1032202,,,52887,1084,9,,,50342,,,,,,,,18735,,21,606,10300,1038685,posNeg,10906,1038685,11,49,503e8125600a532dfeab639807b927e84c08d7c1,0,0,0,0,0,
